epoch,train,test,new
20,2.618707314581866,2.5963088651803847,4.866953792998216
20,2.7806830728524417,2.816955449721036,5.448161508420592
20,2.803506865825005,2.853193828249124,5.431353767131446
20,2.7822754338766735,2.7499985116524948,4.541776503500955
20,2.6731366152573877,2.702600299340193,5.192507050215269
20,3.07161585014397,3.1376380951975307,6.041075854446257
20,2.540464042677147,2.5611701359942227,5.09513621708383
20,2.693338874900204,2.690624819873609,5.010991051489826
20,3.024637879014246,2.980013216903211,4.206752183428266
20,2.889970647352689,2.8860675791367325,5.3416480888980695
21,2.9528220301232073,2.9215862942061124,5.232461855023059
21,2.492463675750162,2.525653294869704,4.990195584078921
21,2.8914694066273037,2.8463604529189195,4.2926573170189215
21,2.7961323194308365,2.826923103541169,5.422677163870572
21,2.692758507290175,2.6984543633550797,4.95210843137688
21,2.9018834231400836,2.9005713322044753,5.606476445068647
21,2.7162018223048827,2.735061825856406,5.3009557062471195
21,2.607975055367178,2.6059021145753207,4.698747217003573
21,2.6909373736352227,2.6803432342733227,4.685864451961446
21,2.8320125038730017,2.8106395699981097,4.648460168011675
22,2.930393912219683,2.864307712907193,4.397044847799651
22,2.766918420443357,2.7446527937972496,4.4958279194904565
22,2.7400319159048725,2.7549683194897376,4.934286882328954
22,2.9636371767803644,2.918210537087305,4.43765734546698
22,2.6971545840099034,2.6936338804851894,5.226575045761337
22,2.6066319671389757,2.62170033874736,5.1410755461558395
22,2.94162718130793,2.9800427061118437,5.714170532350856
22,2.790147134954298,2.744216539642264,4.309769094254151
22,2.579027999149801,2.5940365209848273,5.037445001864345
22,2.7488462549497825,2.779270562564709,5.511197157749567
23,2.515022504550912,2.5414213700979564,4.729109226015035
23,2.5272671763629755,2.563314327502025,5.159976921119053
23,2.782516159484674,2.765167378806783,4.74139995688843
23,2.550125665174596,2.5326468522414873,4.700335886693949
23,2.667212785216411,2.7076499314440534,5.314961110329381
23,2.793692622780756,2.7959770358939826,5.270576098151708
23,2.6144055686162613,2.6303148087533987,5.004140816720101
23,2.6834848091394443,2.6870696873858972,5.131442701147636
23,2.522943931478339,2.511686525189339,4.623597820615886
23,2.7353012339467098,2.762366162378315,5.330854141964335
24,2.754905644790493,2.733223388863747,4.450395319895388
24,2.649939758655742,2.6307506183106124,4.480725713387475
24,2.756656451876378,2.7559391010884955,4.864377616576706
24,2.6183156382409365,2.6532482133512754,5.490003721743142
24,2.686156456768717,2.680677082454228,5.009264645729671
24,2.546804473268219,2.5572748473438454,4.921671951485411
24,2.580693456396206,2.579392556050458,4.808344282069351
24,2.5209696110305204,2.542063427676557,5.020861659735914
24,2.7115391498388357,2.740327294381846,5.420901239459274
24,2.7442228880813184,2.743426869247562,5.148283899980167
25,2.7260950868167084,2.7176946967294047,4.615728634684969
25,2.4943697759726553,2.4801840638172488,4.488854982753224
25,2.9489446986483476,2.9796695775528987,5.498823186938975
25,2.5708524468740563,2.5751113615503143,4.823014181460557
25,2.7251136572477863,2.7017027950372547,4.941735461361841
25,2.6003166311597874,2.6130193264208454,4.920213843328471
25,2.591467108676975,2.573807654116636,4.575663787681813
25,2.762571242229485,2.743764204500425,4.368045844085218
25,2.973090204689686,3.0425609568499388,5.84088910590615
25,2.56192809665828,2.553696358607166,4.504223400635274
26,2.5720171305737125,2.6135535060243553,5.380578203749639
26,2.618773817509611,2.6418734140806492,5.227845033241281
26,2.3838254448475342,2.376848546958711,4.6583394573910475
26,3.230599969655069,3.303519285053536,6.274564338420882
26,2.5142171651871394,2.5264622013846187,5.034723228197848
26,2.6641861675026983,2.657805755130293,4.710899962366989
26,2.7940644949328437,2.7784077131533937,4.702119242094064
26,2.426997799630187,2.4060259854872483,4.87157552939366
26,2.754536097925713,2.7732537786221987,5.13411973264929
26,2.772726477358181,2.7364166684087827,4.468479687032639
27,2.488357221738868,2.495049528383279,4.983364894726239
27,2.5735827659341473,2.559029602701102,4.527874870312407
27,2.442278151290314,2.4602216376654207,4.726883410116859
27,2.3891153208935045,2.4190044392459606,4.8886863474398154
